key,type,yahoo_ticker,yahoo_url,webull,reuters,google,investing,finance_charts,stock_analysis,trading_view,Charts
SCHG,etf,SCHG,,https://www.webull.com/quote/nysearca-schg,https://www.reuters.com/markets/quote/SCHG.A/,https://www.google.com/finance/quote/SCHG:NYSEARCA,https://www.investing.com/etfs/schwab-us-large-cap-growth,https://www.financecharts.com/etfs/SCHG,https://stockanalysis.com/etf/schg/,https://www.tradingview.com/symbols/AMEX-SCHG/,
SGOV,etf,SGOV,,https://www.webull.com/quote/nysearca-sgov,,https://www.google.com/finance/quote/SGOV:NYSEARCA,https://www.investing.com/etfs/sgov,https://www.financecharts.com/etfs/SGOV,https://stockanalysis.com/etf/sgov/,https://www.tradingview.com/symbols/AMEX-SGOV/,
#SPLG,etf,SPLG,,https://www.webull.com/quote/nysearca-splg,https://www.reuters.com/markets/quote/SPLG.A/,https://www.google.com/finance/quote/SPLG:NYSEARCA,https://www.investing.com/etfs/spdr-russell-1000,https://www.financecharts.com/etfs/SPLG,https://stockanalysis.com/etf/splg/,https://www.tradingview.com/symbols/AMEX-SPLG/,
#SSO,etf,SSO,,https://www.webull.com/quote/nysearca-sso,https://www.reuters.com/markets/quote/sso/,https://www.google.com/finance/quote/SSO:NYSEARCA,https://www.investing.com/etfs/proshares-ultra-s-p500,https://www.financecharts.com/etfs/SSO,https://stockanalysis.com/etf/sso/,https://www.tradingview.com/symbols/AMEX-SSO/,
TQQQ,etf,TQQQ,,https://www.webull.com/quote/nasdaq-tqqq,https://www.reuters.com/markets/quote/TQQQ.OQ/,https://www.google.com/finance/quote/TQQQ:NASDAQ,https://www.investing.com/etfs/proshares-trust-ultrapro-qqq,https://www.financecharts.com/etfs/TQQQ,https://stockanalysis.com/etf/tqqq/,https://www.tradingview.com/symbols/NASDAQ-TQQQ/,
#UPRO,etf,UPRO,,https://www.webull.com/quote/nysearca-upro,https://www.reuters.com/markets/quote/UPRO.A/,https://www.google.com/finance/quote/UPRO:NYSEARCA,https://www.investing.com/etfs/proshares-ultrapro-s-p500,https://www.financecharts.com/etfs/UPRO,https://stockanalysis.com/etf/upro/,https://www.tradingview.com/symbols/AMEX-UPRO/,
VGT,etf,VGT,,https://www.webull.com/quote/nysearca-vgt,https://www.reuters.com/markets/quote/VGT/,https://www.google.com/finance/quote/VGT:NYSEARCA,https://www.investing.com/etfs/vanguard-information-tech,https://www.financecharts.com/etfs/VGT,https://stockanalysis.com/etf/vgt/,https://www.tradingview.com/symbols/AMEX-VGT/,
VOO,etf,VOO,,https://www.webull.com/quote/nysearca-voo,,,,https://www.financecharts.com/etfs/VOO,https://stockanalysis.com/etf/voo/,https://www.tradingview.com/symbols/AMEX-VOO/,
VTI,etf,VTI,,https://www.webull.com/quote/nysearca-vti,https://www.reuters.com/markets/quote/VTI/,https://www.google.com/finance/quote/VTI:NYSEARCA,https://www.investing.com/etfs/vanguard-total-stkmkt,https://www.financecharts.com/etfs/VTI,https://stockanalysis.com/etf/vti/,https://www.tradingview.com/symbols/AMEX-VTI/,
XDTE,etf,XDTE,,https://www.webull.com/quote/bats-xdte,https://www.reuters.com/markets/quote/XDTE.N/,https://www.google.com/finance/quote/XDTE:BATS,https://www.investing.com/etfs/xdte,https://www.financecharts.com/stocks/XDTE,https://stockanalysis.com/etf/xdte/,https://www.tradingview.com/symbols/CBOE-XDTE/,
YBTC,etf,YBTC,,https://www.webull.com/quote/bats-ybtc,,https://www.google.com/finance/quote/YBTC:BATS,https://www.investing.com/etfs/ybtc-nyse,https://www.financecharts.com/etfs/YBTC,https://stockanalysis.com/etf/ybtc/,https://www.tradingview.com/symbols/CBOE-YBTC/,
