key,interval,url
primary,2,https://www.investing.com/portfolio/?portfolioID=OTpkM2QwZDE1ZW9iN2FjaA%3D%3D
secondary,5,https://www.investing.com/portfolio/?portfolioID=OTpkM2QwZDE1ZW9iN2FjaA%3D%3D
